Genus,3G.01,3G.13,3N.10,3T.08,3T.20,3T.32,3G.02,3G.14,3N.11,3T.09,3T.21,3T.33,3T.44,3G.03,3G.15,3N.12,3T.10,3T.22,3T.34,3G.04,3N.01,3N.13,3T.11,3T.23,3T.35,3G.05,3N.02,3N.14,3T.12,3T.24,3T.36,3G.06,3N.03,3T.01,3T.13,3T.25,3T.37,3G.07,3N.04,3T.02,3T.14,3T.26,3T.38,3G.08,3N.05,3T.03,3T.15,3T.27,3T.39,3G.09,3N.06,3T.04,3T.16,3T.28,3T.40,3G.10,3N.07,3T.05,3T.17,3T.29,3T.41,3G.11,3N.08,3T.06,3T.18,3T.30,3T.42,3G.12,3N.09,3T.07,3T.19,3T.31,3T.43,2G.01,2G.13,2N.10,2T.08,2T.20,2T.32,1G.01,1G.13,1N.10,1T.08,1T.20,1T.32,2G.02,2G.14,2N.11,2T.09,2T.21,2T.33,2T.44,1G.02,1G.14,1N.11,1T.09,1T.21,1T.33,1T.44,2G.03,2G.15,2N.12,2T.10,2T.22,2T.34,1G.03,1G.15,1N.12,1T.10,1T.22,1T.34,2G.04,2N.01,2N.13,2T.11,2T.23,2T.35,1G.04,1N.01,1N.13,1T.11,1T.23,1T.35,2G.05,2N.02,2N.14,2T.12,2T.24,2T.36,1G.05,1N.02,1N.14,1T.12,1T.24,1T.36,2N.03,2T.01,2T.13,2T.25,2T.37,1G.06,1N.03,1T.01,1T.13,1T.25,1T.37,2G.07,2N.04,2T.02,2T.14,2T.26,2T.38,1G.07,1N.04,1T.02,1T.14,1T.26,1T.38,2G.08,2N.05,2T.03,2T.15,2T.27,2T.39,1G.08,1N.05,1T.03,1T.15,1T.27,1T.39,2G.09,2N.06,2T.04,2T.16,2T.28,1G.09,1N.06,1T.04,1T.16,1T.28,1T.40,2G.10,2N.07,2T.05,2T.17,2T.41,1G.10,1N.07,1T.05,1T.17,1T.29,1T.41,2G.11,2N.08,2T.06,2T.18,2T.30,2T.42,1G.11,1N.08,1T.06,1T.18,1T.30,1T.42,2G.12,2N.09,2T.07,2T.19,2T.31,1G.12,1N.09,1T.07,1T.19,1T.31,1T.43
g__Phoxinus,508.156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,842.363,0,0,0,0,0,0,29.724,768.727,0,0,0,0,33.384,2981.677,0,0,0,203.384,13.794,378.307,0,0,0,576.079,2.001,1971.168,0,0,0,0,0,3110.833,0,0,0,0,0,0,0,0,0,0,0,285.569,0,0,0,619.256,0,0,0,0,0,746.985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1654.941,0,0,0,0,0,807.298,0,0,0,0,0,0,641.709,0,0,0,0,0,148.136,0,0,0,0,0,2530.032,0,0,0,0,0,0,0,0,0,291.545,0,40.866,0,0,0,235.057,0,156.235,0,0,0,0,0,1626.937,0,0,0,0,916.411,0,0,0,0,0,1653.349,0,0,0,0,421.149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1059.093,0,0,0,0,434.239,0,0,0
g__Plumatella,7.156,0,0,0,0,0,0,18.967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.363,0,0,0,0,0,0,0,0,0,0,0,6094.827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.395,0,0,0,0,0,0,150.182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Polyarthra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Polypedilum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.196,0,0,0,0,0,0,66.691,0,0,0,95.985,0,0,0,0,0,0,0,0,0,0,19.572,0,57.353,0,0,27.514,0,0,0,0,2.697,0,0,0,0,85.489,0,0,0,0,0,755.684,2.697,0,0,3.813,0,0,96.665,0,1.944,864.905,0,15.941,9.7,0,0,0,0,22.298,0,0,0,0,0,0,0,0,0,0,8.4,0,8.136,0,0,0,5.928,0,6.032,0,9.153,0,0,0,59.549,0,0,0,20.545,0,0,0,0,0,32.057,0,53.235,0,0,0,37.953,0,0,0,0,0,0,73.411,0,0,0,0,0,0,0,9.908,0,0,0.149,0,0,0,0,0,0,0,0,0,0,4.07,11.563,0,0,0,0,39.015,0,0,75.696,0,0,8.239,0,0,0
g__Potamophylax,0,0,0,0,0,0,0,0,0,0,0,0,46.145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.919,0,0,0,0,0,11.707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.415,0,0,0,20.851,0,0,0,0,0,0,0,0,0,360.185,0,0,0,0,0,4.136,0,0,0,0,0,0,0,0,18.671,0,0,0,151.238,0,0,0,0,0,0,0,0,0,0,24.793,0,0,87.863,0,0,0,310.249,0,0,0,0,0,31.052,0,0,0,0,0,18.53,0,0,0,0,0,0,0,0,0,0,0,0,0,30.154,0,0,0,0,0,0,50.662,0,0,0,0,0,0,0,0,0,0,15.592,0,0,0,0,0,0,0,0,0,0,77.459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Potamopyrgus,0,0,0,0,0,0,0,0,0,0,0,0,0,313.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.384,977.677,0,0,0,39.384,0,0,0,0,0,29.079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.709,0,0,0,0,0,0,0,0,0,0,0,602.032,0,0,0,0,0,9.549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.911,0,0,0,0,0,8.563,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Potamothrix,38.156,0,0,0,0,0,0,0,0,0,0,0,0,245.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Pristina,0,0,238.546,267.102,0,0,0,9.967,83.003,4.995,0,0,0,0,0,0,19.514,41.097,0,0,0,0,0,0,64.661,0,316.424,0,15.273,0,0,0,97.724,0,0,0,0,8832.827,0,0,15.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.691,241.669,0,124.205,0,0,0,0,0,0,0,110.395,434.143,0,0,0,0,0,19.182,0,0,0,0,0,0,0,46.845,5812.586,16.77,0,0,0,12.944,0,0,0,0,0,359.671,0,0,0,0,0,0,0,0,0,0,0,0,8.932,0,0,0,14.163,0,0,0,0,264.249,2.709,0,298.198,0,0,203.052,0,0,0,0,263.928,54.53,7.032,0,239.153,245.213,0,0,0,0,0,0,0,0,0,0,166.848,0,0,6.47,0,0,0,0,18.953,0,0,0,136.874,0,0,0,0,0,0,0,13.895,0,0,146.908,0,0,0,5.924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.015,0,0,0,0,0,0,0,0,0
g__Prodiamesa,0,0,0,0,0,0,0,0,0,67.995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Prosimulium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.125,0,9.617,0,0,0,0,0,0,0,0,0,0,227.944,0,6.162,493.318,0,0,0,0,0,0,0,0,259.787,0,3.905,101.305,0,0,0,0,0,0,0,0,1201.863,0,0,200.749,0,0,0,0,0,0,0,0,0,2049.557,14.756,0,0,0,0,0,0,0,0,0,249.303,23.023,12372.804,0,0,0,0,0,0,0,0,0,0,67.662,0,0,0,0,0,0,0,6.29,0,0,2055.592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.07,0,0,2231.432,0,0,0,0,0,0,0,0,61.239,51.819,0,0
